# Matter power spectrum P(k) at redshift z=2
# for k=1.03955e-05 to 53.1956 h/Mpc,
# number of wavenumbers equal to 620
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       3.771793335040e-01       1.025416816428e+02 
       3.803781991329e-01       1.009157864393e+02 
       3.835770651390e-01       9.930766457465e+01 
       3.867759315127e-01       9.771153249686e+01 
       3.899747982451e-01       9.612332369521e+01 
       3.931736653273e-01       9.454258091983e+01 
       3.963725327509e-01       9.296903215441e+01 
       3.995714005075e-01       9.140595072211e+01 
       4.027702685894e-01       8.985897936113e+01 
       4.059691369886e-01       8.833493093278e+01 
       4.091680056978e-01       8.684164512298e+01 
       4.123668747098e-01       8.538607528794e+01 
       4.155657440174e-01       8.397279172997e+01 
       4.187646136139e-01       8.260390406753e+01 
       4.219634834927e-01       8.128034901105e+01 
       4.251623536474e-01       8.000083429960e+01 
       4.283612240718e-01       7.876331699560e+01 
       4.315600947599e-01       7.756571850763e+01 
       4.347589657059e-01       7.640544124485e+01 
       4.379578369040e-01       7.527905550301e+01 
       4.411567083487e-01       7.418280582721e+01 
       4.443555800348e-01       7.311135167149e+01 
       4.475544519570e-01       7.205981693116e+01 
       4.507533241103e-01       7.102424917158e+01 
       4.539521964898e-01       7.000153784257e+01 
       4.571510690906e-01       6.899023666957e+01 
       4.603499419083e-01       6.799032552392e+01 
       4.635488149382e-01       6.700254767700e+01 
       4.667476881761e-01       6.602794749692e+01 
       4.699465616175e-01       6.506751915149e+01 
       4.731454352585e-01       6.412223005737e+01 
       4.763443090949e-01       6.319348401855e+01 
       4.795431831229e-01       6.228249184247e+01 
       4.827420573385e-01       6.139157327235e+01 
       4.859409317382e-01       6.052229538664e+01 
       4.891398063183e-01       5.967585948475e+01 
       4.923386810752e-01       5.885231811880e+01 
       4.955375560055e-01       5.805060446749e+01 
       4.987364311058e-01       5.726889554230e+01 
       5.019353063730e-01       5.650507307694e+01 
       5.051341818038e-01       5.575729698760e+01 
       5.083330573951e-01       5.502412464228e+01 
       5.115319331440e-01       5.430431628170e+01 
       5.147308090474e-01       5.359716323398e+01 
       5.179296851024e-01       5.290131332020e+01 
       5.211285613064e-01       5.221570026991e+01 
       5.243274376565e-01       5.153939892053e+01 
       5.275263141501e-01       5.087184322467e+01 
       5.307251907846e-01       5.021315060517e+01 
       5.339240675574e-01       4.956401362271e+01 
       5.371229444661e-01       4.892534025967e+01 
       5.403218215082e-01       4.829797567976e+01 
       5.435206986814e-01       4.768226295392e+01 
       5.467195759834e-01       4.707850856927e+01 
       5.499184534119e-01       4.648624843448e+01 
       5.531173309647e-01       4.590498023685e+01 
       5.563162086397e-01       4.533458412563e+01 
       5.595150864348e-01       4.477545437754e+01 
       5.627139643478e-01       4.422717773235e+01 
       5.659128423769e-01       4.368980945071e+01 
       5.691117205200e-01       4.316286223818e+01 
       5.723105987752e-01       4.264558014211e+01 
       5.755094771407e-01       4.213703520485e+01 
       5.787083556146e-01       4.163655150268e+01 
       5.819072341951e-01       4.114358641658e+01 
       5.851061128805e-01       4.065811329841e+01 
       5.883049916691e-01       4.018014660708e+01 
       5.915038705591e-01       3.970970016795e+01 
       5.947027495490e-01       3.924657111469e+01 
       5.979016286371e-01       3.879043809802e+01 
       6.011005078219e-01       3.834093699204e+01 
       6.042993871017e-01       3.789783810734e+01 
       6.074982664752e-01       3.746121200216e+01 
       6.106971459408e-01       3.703129885770e+01 
       6.138960254972e-01       3.660855576253e+01 
       6.170949051427e-01       3.619310810382e+01 
       6.202937848762e-01       3.578496809919e+01 
       6.234926646963e-01       3.538380434148e+01 
       6.266915446015e-01       3.498913334768e+01 
       6.298904245906e-01       3.460073480061e+01 
       6.330893046624e-01       3.421838990271e+01 
       6.362881848155e-01       3.384205481198e+01 
       6.394870650489e-01       3.347182814129e+01 
       6.426859453611e-01       3.310763095038e+01 
       6.458848257512e-01       3.274922505862e+01 
       6.490837062179e-01       3.239620864199e+01 
