# Matter power spectrum P(k) at redshift z=3.2
# for k=1.03955e-05 to 53.1956 h/Mpc,
# number of wavenumbers equal to 620
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       7.226579757556e-01       1.327712419894e+01 
       7.258568577672e-01       1.314715859535e+01 
       7.290557398327e-01       1.301887107961e+01 
       7.322546219514e-01       1.289218514525e+01 
       7.354535041227e-01       1.276710972043e+01 
       7.386523863458e-01       1.264370775788e+01 
       7.418512686201e-01       1.252201832103e+01 
       7.450501509449e-01       1.240210480344e+01 
       7.482490333196e-01       1.228384260519e+01 
       7.514479157436e-01       1.216716590501e+01 
       8.213165622076e-01       9.960881746966e+00 
       9.225448477297e-01       7.646801579454e+00 
       1.083599571933e+00       5.276968718719e+00 
       1.337902115014e+00       3.219529304497e+00 
       1.682219824251e+00       1.864466300819e+00 
       2.117754163176e+00       1.066926738461e+00 
       2.666094419192e+00       6.055525616960e-01 
       3.356414014514e+00       3.411597262834e-01 
       4.225474895374e+00       1.909206938341e-01 
       5.319557722685e+00       1.061905024366e-01 
