# Matter power spectrum P(k) at redshift z=2.4
# for k=1.03955e-05 to 53.1956 h/Mpc,
# number of wavenumbers equal to 620
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       4.539521964898e-01       5.500028779872e+01 
       4.571510690906e-01       5.420570722092e+01 
       4.603499419083e-01       5.342007684042e+01 
       4.635488149382e-01       5.264374598079e+01 
       4.667476881761e-01       5.187800579969e+01 
       4.699465616175e-01       5.112340025201e+01 
       4.731454352585e-01       5.038068914590e+01 
       4.763443090949e-01       4.965101582509e+01 
       4.795431831229e-01       4.893527872355e+01 
       4.827420573385e-01       4.823525862533e+01 
       4.859409317382e-01       4.755227819910e+01 
       4.891398063183e-01       4.688722614512e+01 
       4.923386810752e-01       4.624017124825e+01 
       4.955375560055e-01       4.561026594098e+01 
       4.987364311058e-01       4.499607801428e+01 
       5.019353063730e-01       4.439595194248e+01 
       5.051341818038e-01       4.380841715757e+01 
       5.083330573951e-01       4.323238015696e+01 
       5.115319331440e-01       4.266683596935e+01 
       5.147308090474e-01       4.211120268249e+01 
       5.179296851024e-01       4.156447455986e+01 
       5.211285613064e-01       4.102578953292e+01 
       5.243274376565e-01       4.049442070388e+01 
       5.275263141501e-01       3.996992332855e+01 
       5.307251907846e-01       3.945238966132e+01 
       5.339240675574e-01       3.894236383978e+01 
       5.371229444661e-01       3.844055925783e+01 
       5.403218215082e-01       3.794766038950e+01 
       5.435206986814e-01       3.746389743991e+01 
       5.467195759834e-01       3.698952802998e+01 
       5.499184534119e-01       3.652418132586e+01 
       5.531173309647e-01       3.606746854256e+01 
       5.563162086397e-01       3.561930910089e+01 
       5.595150864348e-01       3.518000173186e+01 
       5.627139643478e-01       3.474922170497e+01 
       5.659128423769e-01       3.432701246048e+01 
       5.691117205200e-01       3.391299131353e+01 
       5.723105987752e-01       3.350656351717e+01 
       5.755094771407e-01       3.310701839078e+01 
       5.787083556146e-01       3.271378918623e+01 
       5.819072341951e-01       3.232646726853e+01 
       5.851061128805e-01       3.194503004811e+01 
       5.883049916691e-01       3.156949219475e+01 
       5.915038705591e-01       3.119986302332e+01 
       5.947027495490e-01       3.083598314133e+01 
       5.979016286371e-01       3.047760006355e+01 
       6.011005078219e-01       3.012442769151e+01 
       6.042993871017e-01       2.977628555405e+01 
       6.074982664752e-01       2.943323023686e+01 
       6.106971459408e-01       2.909544794760e+01 
       6.138960254972e-01       2.876329915002e+01 
       6.170949051427e-01       2.843688236801e+01 
       6.202937848762e-01       2.811620721354e+01 
       6.234926646963e-01       2.780101330690e+01 
       6.266915446015e-01       2.749092077822e+01 
       6.298904245906e-01       2.718575652359e+01 
       6.330893046624e-01       2.688534862909e+01 
       6.362881848155e-01       2.658966264255e+01 
       6.394870650489e-01       2.629877603765e+01 
       6.426859453611e-01       2.601262678516e+01 
       6.458848257512e-01       2.573102774208e+01 
       6.490837062179e-01       2.545366319389e+01 
       6.522825867600e-01       2.518022809911e+01 
       6.554814673766e-01       2.491047078003e+01 
       6.586803480665e-01       2.464437118658e+01 
       6.618792288286e-01       2.438199986151e+01 
       6.650781096619e-01       2.412349029111e+01 
       6.682769905654e-01       2.386891819340e+01 
       6.714758715380e-01       2.361820423273e+01 
       6.746747525789e-01       2.337115555103e+01 
       6.778736336869e-01       2.312766666785e+01 
       6.810725148612e-01       2.288743536616e+01 
       6.842713961008e-01       2.265055195589e+01 
       6.874702774049e-01       2.241712141250e+01 
       6.906691587724e-01       2.218722064338e+01 
       6.938680402026e-01       2.196090037149e+01 
       6.970669216946e-01       2.173804948169e+01 
       7.002658032475e-01       2.151845999250e+01 
       7.034646848605e-01       2.130191862698e+01 
       7.066635665328e-01       2.108826207782e+01 
       7.098624482635e-01       2.087746091704e+01 
       7.130613300519e-01       2.066956386057e+01 
       7.162602118973e-01       2.046462466890e+01 
       7.194590937987e-01       2.026266193005e+01 
       7.226579757556e-01       2.006356592925e+01 
       7.258568577672e-01       1.986716994748e+01 
       7.290557398327e-01       1.967330978910e+01 
       7.322546219514e-01       1.948186984230e+01 
       7.354535041227e-01       1.929286359867e+01 
       7.386523863458e-01       1.910638618808e+01 
       7.418512686201e-01       1.892249664050e+01 
       7.450501509449e-01       1.874129075205e+01 
       7.482490333196e-01       1.856258023498e+01 
       7.514479157436e-01       1.838626562440e+01 
       8.213165622076e-01       1.505226549838e+01 
       9.225448477297e-01       1.155537074135e+01 
       1.083599571933e+00       7.974226065374e+00 
       1.337902115014e+00       4.865153053684e+00 
       1.682219824251e+00       2.817463762167e+00 
       2.117754163176e+00       1.612271732422e+00 
       2.666094419192e+00       9.150721842974e-01 
       3.356414014514e+00       5.155378224140e-01 
       4.225474895374e+00       2.885063463695e-01 
       5.319557722685e+00       1.604674344868e-01 
